id,source,category,duration,daily_hours,invest_amount,invest_display,revenue_amount,revenue_display,has_main_job,failure_reasons,difficulties,free_text
35,pickply,플랫폼노동,1년 이상,1~3시간,100000,"10만(100,000)",200000,"20만(200,000)",예,원인을 모르겠음,"시간 관리, 수익화 연결",수입이 부족해 시작하게 되었습니다. 처음에는 간단한 부업들을 찾아봤으나 정기적으로 하는데는 어려움이있었습니다. 부정기 패널조사 등등. 또 단순 작업 부업도 해봤으나 시간이 너무 오래 걸리고 수익성이 낮았습니다.
36,pickply,온라인판매_이커머스,1년 이상,1~3시간,300000,"30만(300,000)",1000000,"100만(1,000,000)",예,마케팅 실패,"고객 확보 (마케팅), 운영 지속성",월급으로 생계를 유지하는데 어려워서 추가로 도움이 되는 수익창출 파이프를 파고 싶어서
37,pickply,오프라인부업,6개월~1년,5시간 이상,5000000,"500만(5,000,000)",-3000000,"-300만(-3,000,000)",예,"시장 조사 부족, 마케팅 실패","고객 확보 (마케팅), 시간 관리, 수익화 연결, 운영 지속성, 정보 부족, 경쟁 심화",취미로 하다가 판매하고 싶어 시작. 생각보다 많이 팔리지 않고 단가도 적어서 수익이 많이 생기지 않음
38,pickply,플랫폼노동,1년 이상,1~3시간,0,0,20000,"2만(20,000)",예,실행력 부족,"시간 관리, 운영 지속성","본업 이외의 부수입을 원해서 예전부터 앱테크를 진행하고 있습니다. 새로운 앱테크가 나올때마다 추가하고 있는데, 생각보다 시간이 많이 소요되어 효율성이 떨어진다 생각이 들 때가 있습니다. 그래서 요즘은 시간 대비 효율이 좋은 것들 위주로 추리고 있습니다(+블로그, 숏폼 등에도 도전중입니다)"
39,pickply,투자_재테크,1~3개월,1~3시간,0,0,0,0,예,"실행력 부족, 시간 부족","운영 지속성, 정보 부족",수입부족
40,pickply,온라인판매_이커머스,1개월 미만,1~3시간,100000,"10만(100,000)",-1,미기재,예,"시장 조사 부족, 실행력 부족","수익 구조 이해, 수익화 연결, 운영 지속성","우연히 sns를 하다가 부업을 할수있게 강의를 해준다고 하여 클래스 결제하면서 사업자등록증 내고 했으나, 막상하려니 사실 막막하기도 했고 본업과 병행하다보니 일마치고 와서 부업하기란 쉽지도 않았고, 어떤 상품들을 고객들이 눈여겨 보는지 잘모르니 쉽게 포기하게됐음"
41,pickply,콘텐츠_SNS,1년 이상,1~3시간,600000,"60만(600,000)",200000,"20만(200,000)",예,"시장 조사 부족, 마케팅 실패","수익 구조 이해, 운영 지속성, 경쟁 심화",블로그 광고 부업인데 건별로 광고비를 받거나 조회수에 따라 이익이 달라지는 부업이었는데요 어느순간부터 기계적인 광고글이 많아져서 포털사이트 알고리즘에 의해 블로그 저평가가 받아졌는지 검색 노출수도 많이 줄고 이래저래 운영이 어려워져서 그만두게 되었어요
42,pickply,플랫폼노동,1~3개월,5시간 이상,0,0,0,0,아니오,시장 조사 부족,"시간 관리, 수익화 연결, 운영 지속성, 정보 부족, 경쟁 심화",경력단절로 인해 부업을 해볼까해서 시작했습니다 생각보다 시간도 많이 소요되고 힘이 드는 일이었습니다 제대로 조사나 확인을 더 했어야했는데 못한거 같습니다
43,pickply,플랫폼노동,3~6개월,5시간 이상,0,0,0,0,예,"마케팅 실패, 자본 부족","수익화 연결, 운영 지속성","인터넷 시대에 쇼핑몰 앱을 개발하는 중 급변하는 소프트웨어의 신기술화로 전문직의 장벽에 부딪혀 결국 해당 공학도와 프로그래머,영상디자이너 등 을 채용하였으나 시간과 자본력 부족으로 한계에 부딪히자 정책적기금등을 알아 보았으나 그 또한 금융기관의 문턱에 거려 결국 모두를 접고 자금 손실로 종결케 됨."
44,pickply,플랫폼노동,1년 이상,1~3시간,500000,"50만(500,000)",1000000,"100만(1,000,000)",예,시간 부족,"시간 관리, 수익화 연결",본업 수입이 적어서 진입이 쉬운 부업을 찾다가 배달일을 알게됨. 자동차만으로 가능하여 시작하였는데 자동차는 기동성이 떨어져 시간대비 최종수익이 별로였음
45,pickply,투자_재테크,1년 이상,3~5시간,10000000,"1,000만(10,000,000)",4000000,"400만(4,000,000)",예,자본 부족,수익화 연결,본업으론 경제적 자유화를 못누려습니다. 그래서 주식으로 수익을 얻고자 분석도하고 투자하게되었습니다 가장어려웠던 것은 시장흐름인것 같습니다
46,pickply,플랫폼노동,1년 이상,3~5시간,1500000,"150만(1,500,000)",2000000,"200만(2,000,000)",예,시간 부족,시간 관리,생활비 부족해서 시작 했어요 배달의 일이라위험하고 시간 관리 잘하고 있어 힘들 었어요 체력이 딸려서 힘들었어요
47,pickply,오프라인부업,6개월~1년,1~3시간,200000,"20만(200,000)",50000,"5만(50,000)",예,"실행력 부족, 자본 부족","수익 구조 이해, 수익화 연결, 운영 지속성","취미를 수익화하고 싶다는 생각에 시작함. 사전 정보 없이 무작정 뛰어들었는데, 고생은 고생대로 하고 수익은 안 나는 느낌... 몇 개 팔다가 혼자 지쳐서 중단함"
48,pickply,투자_재테크,1년 이상,1~3시간,3000000,"300만(3,000,000)",500000,"50만(500,000)",예,"자본 부족, 시간 부족","수익 구조 이해, 정보 부족",많은 뉴스와 영상들을 보고 여러 커뮤니티들에서 정보취합 후 시작했습니다. 소액이라도 이익을 내자라는 심정이었는데 오르고 내리는 타이밍 맞추는게 어렵고 지금도 공부중입니다.
49,pickply,플랫폼노동,1~3개월,1시간 미만,3,3,50000,"5만(50,000)",예,"실행력 부족, 시간 부족","정보 부족, 경쟁 심화",지인하는거 보고 잘 모르는 상태에서 부업으로 시작하게 되었습니다. 처음에는 간단할 줄 알았는데 생각보다 시간도 많이 들고 꾸준히 참여해야 해서 어려움이 있었습니다. 그래도 조금씩 적응하면서 계속 해보고 있습니다.
50,pickply,투자_재테크,1년 이상,1~3시간,30000000,"3,000만(30,000,000)",0,0,예,"시장 조사 부족, 실행력 부족",경쟁 심화,"주변의 추천으로 시작하게 되었고, 부업에 투자할 시간적 여유와 정보의 부족으로 어려움 겪음"
51,pickply,콘텐츠_SNS,3~6개월,3~5시간,0,0,30,30,예,"시장 조사 부족, 마케팅 실패","시간 관리, 경쟁 심화",아무랴도 물가가 솟으니까 조금거벌어보려규했는대요? 아무리 모아보려고해도 팔로우ㅓ가 모으기 힘들었어요!ㅍㅍ
52,pickply,콘텐츠_SNS,6개월~1년,1~3시간,50000,"5만(50,000)",200000,"20만(200,000)",예,"실행력 부족, 마케팅 실패",시간 관리,본업뿐만 아니라 또 부수입이 있길 바라는 마음 때문입니다
53,pickply,콘텐츠_SNS,3~6개월,3~5시간,8000000,"800만(8,000,000)",100000,"10만(100,000)",예,마케팅 실패,"수익 구조 이해, 수익화 연결",유튜브 크레이티브로 영상콘텐츠로 부가 수입을 연출하려 시작하였다 그러나 유튜브시장에서 알고리즘에 노출되기가 많이 어려우며 답보상태가 길어져서 힘들다
54,pickply,온라인판매_이커머스,1년 이상,3~5시간,20000000,"2,000만(20,000,000)",2500000,"250만(2,500,000)",예,"마케팅 실패, 독점 보호 실패","운영 지속성, 정보 부족, 경쟁 심화",유튜브 보고 시작핬고 공부도 2년간 하면서 실행했어요.
55,pickply,플랫폼노동,1년 이상,1~3시간,0,0,100000,"10만(100,000)",예,실행력 부족,"수익화 연결, 경쟁 심화",배달 - 본업 외에 쉽게 돈 버는 방법을 찾다 시작하게 되었고 오토바이나 자전거 없이 도보로 배달하여 조금만 해도 체력적으로 많이 지쳤습니다. 작사 - 예술적은 분야에서도 부업을 하고싶어서 시작했으나 투자비 (학원비)는 매달 나가는데 수익이 쉽지 않았습니다. 스마트스토어 - 온라인으로 부업을 하고싶어서 시작했는데 이미 최저가로 파는 사람이 많은 레드오션이라 발 딛기조차 힘들었습니다.
56,pickply,온라인판매_이커머스,1년 이상,3~5시간,8000000,"800만(8,000,000)",600000,"60만(600,000)",예,"자본 부족, 시간 부족","수익 구조 이해, 수익화 연결",유튜브에서 물건을 때다가 팔아서 부업을 하는 유튜브를 보고 시작했지만 생각보다 수익이 나지 않고 시간에 비해서 매출이 잘 나오지 않고 인기 물품이 바뀌어서 어려웠다
57,pickply,콘텐츠_SNS,6개월~1년,1~3시간,0,0,0,0,예,마케팅 실패,수익화 연결,sns광고 보고 무료로 알려준다고 해서 시작했지만 진짜 기본만 알려주고 진짜 정보는 월정액 결제를 해야 알려주는 구조였어서 혼자 하다가 결국은 실패
58,pickply,투자_재테크,1년 이상,1시간 미만,20000000,"2,000만(20,000,000)",-200,-200,예,"시장 조사 부족, 원인을 모르겠음","수익 구조 이해, 정보 부족",2022-2023 한창 해외주식 붐일 때 시작해서 처음에는 수익을 냈지만 레버리지를 타면서 손실을 봤습니다 그 이후에도 국장 붐이 오면서 국장으로 넘어왔지만 정보나 공부가 부족한 건지 운이 안 따라주는 건지 결국 마이너스네요ㅠㅠ 안정적인 etf가 아니라 레버리지를 한 게 패인이라고 생각해서 isa 등으로 굴려볼까 합니다
59,pickply,콘텐츠_SNS,6개월~1년,1~3시간,50000,"5만(50,000)",500000,"50만(500,000)",예,실행력 부족,"수익 구조 이해, 시간 관리, 수익화 연결",취미생활을 할 돈을 따로모으고 싶어서 하게 되었고 돈을 벌어보니 조금 더 관심이 생겼습니다 하지만 수익화가 어려웠습니다
60,pickply,기타,1년 이상,1시간 미만,0,0,3000,"3,000",예,실행력 부족,시간 관리,"급여로 생활하기 빠듯하다고 판단하여 시작하였고, 모으기 힘들었다"
61,pickply,투자_재테크,1년 이상,1~3시간,10000000,"1,000만(10,000,000)",200000,"20만(200,000)",예,"시장 조사 부족, 시간 부족",수익화 연결,월급에 대한 불만족으로 인해 시작했지만 과도한 정보의 홍수에서 어떤 것이 나한테 맞을지 찾기가 어려워 시행착오를 많이 겪음
62,pickply,재능_프리랜서,1년 이상,1~3시간,500,500,200,200,예,"마케팅 실패, 자본 부족","고객 확보 (마케팅), 수익화 연결, 운영 지속성, 경쟁 심화",ai 툴이 많이 생겨나면서 과거에 배웠던 걸 접목해서 본업 외 수익을 창출해보고자 하였음. 초기 진입은 수월했으나 아무래도 상단 진입이라던지 꾸준한 유입이 되지 않다보니 수익 전환이 쉽지 않았음. 광고나 마케팅 비용에 은근 달마다 투자를 하고 있어서 더더욱 일정한 수익이 나지 않았음
63,pickply,플랫폼노동,1년 이상,1~3시간,0,0,0,0,예,원인을 모르겠음,"수익화 연결, 경쟁 심화",소소한 시간 활용하려 했으나 활동에 비해 수입이 너무 적어서 포기할 수밖에 없었다.
64,pickply,콘텐츠_SNS,1년 이상,3~5시간,100000,"10만(100,000)",300000,"30만(300,000)",예,"마케팅 실패, 시간 부족","고객 확보 (마케팅), 수익 구조 이해, 시간 관리, 운영 지속성","생활비에 보탬이 되고지 시작했는데, 확장하기에는 시간과 정보가 너무 부족했습니다. 그래서 탐색하고 시행착오를 많이 겪었습니다"
65,pickply,콘텐츠_SNS,3~6개월,5시간 이상,3000000,"300만(3,000,000)",0,0,예,"자본 부족, 시간 부족","수익 구조 이해, 수익화 연결",취미로 시작했고 처음에는 고객을 유치하기위해 손이득을 보지말고로 시작했는데 체력은 고괄되고 이득은 없고 잡일은 늘어나서 몸이 너무 힘들고 고되어서 포장도 새벽내내 하면서 이득이 없는 일을 하고 있다보니 지쳐서 금방 그만뒀던 것 같아요. 하지만 고객 유치를 하는데는 성공했어요. 하루에 주문이 50건 이상은 들어왔기 때문에.
66,pickply,투자_재테크,1년 이상,1~3시간,40000,"4만(40,000)",1200000,"120만(1,200,000)",예,시장 조사 부족,"수익 구조 이해, 시간 관리, 정보 부족","코인이벤트 참여하면서 시작, 손절과 익절 시점을 잡기가 어려웠다"
67,pickply,플랫폼노동,3~6개월,1~3시간,50000,"5만(50,000)",30,30,예,"마케팅 실패, 자본 부족","고객 확보 (마케팅), 운영 지속성",본업 외 수익을 얻기 위해 시작해볼 생각이었는데 주변에서도 권유하길래 시작했습니다 다만 본업과 병행해서 하기엔 시간적 능력적으로도 부족했고 마케팅과 자본력에서 문제가 많았습니다
68,pickply,콘텐츠_SNS,6개월~1년,1~3시간,0,0,3400,"3,400",예,마케팅 실패,운영 지속성,개인 블로그를 하다가 부수입을 만들고 싶어서 시작했습니다. 블로그 운영이 어려웠던 점은 블로그 게시글 노출이 잘안되다보니 방문자수를 늘리기가 쉽지 않았습니다.
69,pickply,투자_재테크,1년 이상,1시간 미만,10000000,"1,000만(10,000,000)",1000000,"100만(1,000,000)",예,자본 부족,"시간 관리, 경쟁 심화","패시브 인컴, 일을 하지 않고도 돈을 벌수 있는 수단을 마련하기 위해 장기투자를 시작했음. 하지만 시드머니가 많지 않아서 수익률이 아무리 높아도 실제 버는 돈은 적어서, 시드 머니를 축적하는 게 제일 어려움. 결국 인내심 아님 다른 수단으로 돈을 벌어 놓아야 장기투자가 수월해져서 그게 제일 어려움."
70,pickply,콘텐츠_SNS,1년 이상,1~3시간,0,0,100000,"10만(100,000)",예,시간 부족,"고객 확보 (마케팅), 수익 구조 이해, 운영 지속성, 정보 부족",네이버 애드포스트를 목적으로 시작했습니다 처음에 금융을 주제로 글을 작성했습니다 시간적 한계와 정보의 속도를 따라가기 힘들어서 피로도가 증가했습니다 그래서 현재는 1주에 1개 글을 작성하는 것을 지속하고 있습니다
71,pickply,콘텐츠_SNS,1년 이상,1시간 미만,0,0,0,0,예,"실행력 부족, 시간 부족","시간 관리, 귀차늠",추가적인 부가수입을 얻기위해서 했으나 본업과 병행하다보니 꾸준히 하는게 제일 어려웠움 시간도 넉넉하지 못하다보니 경쟁력있는 일을 하지 못함
72,pickply,온라인판매_이커머스,6개월~1년,3~5시간,0,0,0,0,예,"시장 조사 부족, 마케팅 실패","고객 확보 (마케팅), 시간 관리",계기는 추가적인 수입을 만들기 위해 시작했어요 가벼운 마음으로 시작했는데 일은 가볍지 않더라구요 시장 조사도 쉽지 않고 본업과 병행하면서 하기가 어려웠어요
73,pickply,재능_프리랜서,1개월 미만,1~3시간,0,0,0,0,예,실행력 부족,시간 관리,돈이 필요해서 시작했으며 수익을 올리는 방법을 찾는 것이 힘들고 본업을 하면서 부업에 시간을 쏟기 어려워서
74,pickply,플랫폼노동,1년 이상,3~5시간,2000000,"200만(2,000,000)",70000,"7만(70,000)",예,"실행력 부족, 시간 부족","수익 구조 이해, 운영 지속성",투잡으로 저축금액을 늘리고 싶어서
75,pickply,오프라인부업,6개월~1년,1~3시간,5,5,10,10,아니오,마케팅 실패,"고객 확보 (마케팅), 운영 지속성",핸드메이드로 폰줄이나 키링에 관심이 많아서 시작했는데 생각보다 판매가 어려웠고 사람들의 흥미를 이끌어 내지 못한 거 같아요 저렴한 비용으로 좋은 수익을 내야 된다는 조바심이 계속 들었습니다ㅠ
76,pickply,투자_재테크,1년 이상,1~3시간,10000000,"1,000만(10,000,000)",-1,미기재,예,"시장 조사 부족, 시간 부족","수익화 연결, 정보 부족",일단 배달은 본업으로는 형편이 어렵다고 생각해서 시작했고 본업이 끝나는시간이 매일 달라서 시간상의 문제로 실행이 좀 어렵다. 주식은 정보도 그렇고 끈기가 부족해서 손실을 꽤 보는중이다
77,pickply,투자_재테크,6개월~1년,1시간 미만,1000000,"100만(1,000,000)",-300000,"-30만(-300,000)",예,시장 조사 부족,"수익 구조 이해, 수익화 연결, 정보 부족",주변에서 많이 하길래 시작해보았고 24시간 열려있는 마켓이다보니 대응이 어려웠다
78,pickply,투자_재테크,1~3개월,1시간 미만,1500000,"150만(1,500,000)",10000,"1만(10,000)",예,"시장 조사 부족, 자본 부족",수익 구조 이해,친구가 주식 종목을 추천해줘서 한번해볼까해서 시작하게됐는데 처음에 수익 좀 봐서 계속 하게됐는데 마이너스 크게 한번 탁와서 그때 그냥 팔았어요. 현타와서 좀 쉬다가 적금만 넣고있어요.. 친구따라 주식 하지마세요
79,pickply,투자_재테크,6개월~1년,1~3시간,0,0,0,0,예,"실행력 부족, 시간 부족","고객 확보 (마케팅), 수익 구조 이해, 운영 지속성, 정보 부족",용돈벌이로 시작햇다가 지속성에 어려움을느꼈어요 그래서 처음에는 꾸준히 하다가 나중에되니까 느슨해져서 띄엄띄엄하다가 아예 안하게되어버리는 경우가 있었습니다
80,pickply,재능_프리랜서,1년 이상,3~5시간,400000,"40만(400,000)",600000,"60만(600,000)",예,"실행력 부족, 시간 부족","시간 관리, 정보 부족","처음엔 수익 후기 보고 혹해서 시작했는데, 막상 해보니 꾸준한 시간 투자와 마케팅이 어렵더라고요… 생각보다 성과가 안 나서 중간에 포기하게 됐어요."
81,pickply,투자_재테크,1년 이상,1~3시간,50000000,"5,000만(50,000,000)",-10000000,"-1,000만(-10,000,000)",아니오,시장 조사 부족,"수익화 연결, 정보 부족",소소하게 시작하였으나 욕심이 커져 생각보다 일이커졌고 손절할 타이밍을 놓쳐서 손실이 커졌습니다.
82,pickply,콘텐츠_SNS,1년 이상,1~3시간,200000,"20만(200,000)",500000,"50만(500,000)",예,"실행력 부족, 시간 부족","수익 구조 이해, 수익화 연결, 운영 지속성, 경쟁 심화","지인 추천으로 가볍게 시작했는데, 고객 확보가 생각보다 어렵고 시간 대비 수익이 적어서 점점 지치더라고요… 결국 오래 못 갔어요."
83,pickply,콘텐츠_SNS,3~6개월,1~3시간,0,0,20,20,예,시간 부족,수익 구조 이해,부수입을 위해 시작했으나 정보와 체력의 한계
