id,source,category,duration,daily_hours,invest_amount,invest_display,revenue_amount,revenue_display,has_main_job,failure_reasons,difficulties,free_text,keywords,failure_category,summary,risk_level
1,pickply,재능_프리랜서,1년 이상,1~3시간,2000909,"200만 909(2,000,909)",1500000,"150만(1,500,000)",예,마케팅 실패,"고객 확보 (마케팅), 운영 지속성",본업말고 수익을 더 얻고싶어서 시작했는데 작업 특성상 주기적인 제안이 들어오지 않았음,프리랜서;제안부족;고객확보,마케팅부족,재능 프리랜서로 1년 운영했으나 주기적 제안 부족으로 고객 확보 실패,medium
12,pickply,플랫폼노동,6개월~1년,3~5시간,0,0,1200000,"120만(1,200,000)",예,"자본 부족, 시간 부족",시간 관리,돈을 많이 벌자 라는 계기로 시작했지만 이것저것 하다보니 결국엔 몸이 아프더라구요 욕심부리다 번 만큼 병원비로 나간다는 말이 현실이 될 것 같아서 내려놓았습니다,플랫폼노동;과로;건강악화,시간관리,"과도한 플랫폼노동으로 건강 악화, 의료비 지출로 실익 감소",medium
13,pickply,콘텐츠_SNS,1년 이상,1시간 미만,0,0,15000,"1만 5,000(15,000)",예,"시간 부족, 원인을 모르겠음","수익화 연결, 운영 지속성",퍼스널브랜딩을 위해서 했는데 수익화가 안되네요.,퍼스널브랜딩;수익화실패;SNS운영,마케팅부족,퍼스널브랜딩 SNS 1년 운영했으나 수익화 방법 부재로 실패,low
14,pickply,투자_재테크,1년 이상,1시간 미만,1000000,"100만(1,000,000)",700000,"70만(700,000)",예,"시장 조사 부족, 실행력 부족","수익화 연결, 정보 부족",친구들의 추천으로.. 워낙 모르는 부분이라..선뜻 도전도 어려웠고..적극적인 투자도 여전히 어려움,투자재테크;소극적투자;정보부족,타겟분석실패,"친구 추천으로 시작한 투자, 지식 부족으로 소극적 투자만 반복",medium
15,pickply,투자_재테크,1년 이상,1~3시간,100000,"10만(100,000)",10000,"1만(10,000)",예,"실행력 부족, 자본 부족","수익 구조 이해, 수익화 연결, 정보 부족",주식이 뜨고 크게 돈 벌고 싶은 마음에 시작 실행력이 부족해서 남들 딸때 못따고 잃었다,주식투자;타이밍실패;실행력부족,타겟분석실패,주식 투자 시 실행력 부족으로 매수 타이밍 놓쳐 손실 발생,low
16,pickply,플랫폼노동,1년 이상,1~3시간,0,0,30000,"3만(30,000)",아니오,"시장 조사 부족, 실행력 부족","수익화 연결, 운영 지속성",아이 간식값이랑 커피값정도 생각하며 시작했습니다 앱테크를 해보니 낮은 시급이 문제고 설문 하나당 시간 대비 보상이 크지 않습니다. 절대적인 생계 수단보다는 '커피값'이나 '소소한 용돈벌이'로 생각하는 것이 정신 건강에 좋습니다. 설문 시작 후 응답자가 많거나 본인이 대상이 아니면 중간에 끊기는 경우가 빈번합니다. 이 점에 대해 너무 스트레스받지 않는 것이 중요합니다.,앱테크;낮은시급;설문중단,시간관리,"앱테크 설문조사로 1년간 3만원 수익, 시간대비 낮은 보상",low
17,pickply,온라인판매_이커머스,6개월~1년,1~3시간,100000,"10만(100,000)",0,0,예,"시장 조사 부족, 마케팅 실패","고객 확보 (마케팅), 수익화 연결","중국,미국에 살았던 경험으로 알리바바, 쉬인 등 중국 도매 여러사이트에서 물건 구입 후 국내에서 판매시도 하였으나 마케팅, 실행력, 수익구조 여러 플랫폼 수수료로 인해 수입이 적어 중간 기",중국도매;플랫폼수수료;마케팅실패,마케팅부족,"중국 도매 사이트 활용한 이커머스, 마케팅 부족과 플랫폼 수수료로 수익화 실패",low
18,pickply,온라인판매_이커머스,6개월~1년,3~5시간,800000,"80만(800,000)",130000,"13만(130,000)",예,"시장 조사 부족, 시간 부족","고객 확보 (마케팅), 운영 지속성, 경쟁 심화",직장 외 수입을 좀더 원해 시작했는데 시간도 많이할애하고 많이팔리지도않아 힘드내요,이커머스;마케팅부족;시간부족,마케팅부족,"이커머스 6개월 운영, 고객 확보 실패로 손실 67만원 발생",medium
19,pickply,온라인판매_이커머스,3~6개월,3~5시간,10000000,"1,000만(10,000,000)",800000,"80만(800,000)",예,"시장 조사 부족, 마케팅 실패","수익화 연결, 경쟁 심화",지인 소개로 시작했어요. 경험이 부족하다 보니 여러모로 미흡했어요.,지인소개;경험부족;이커머스,마케팅부족,"지인 소개로 시작한 이커머스, 경험 부족으로 마케팅 실패",high
20,pickply,플랫폼노동,1년 이상,1시간 미만,0,0,5000,"5,000",예,실행력 부족,운영 지속성,수익이 적더라도 좋으니 시간 투자를 많이 하지 않고 가볍게 커피값 정도 벌고 싶어서 시작했습니다 그런데 귀찮고 잊어버리는 일이 많아 매일 하기 어려워서 수익이 적었고 그러다보니 꾸준히 진행하기 어려웠던 것 같습니다,플랫폼노동;지속성부족;습관화실패,시간관리,"플랫폼노동, 귀찮음과 망각으로 매일 실행 실패해 수익 미미",low
21,pickply,플랫폼노동,1년 이상,1~3시간,1000000,"100만(1,000,000)",10000000,"1,000만(10,000,000)",예,시간 부족,시간 관리,내 시간에 맞춰 할 수 있는 일을 찾던중에 시작하게되었고 본업 끝난 후 저녁 피크타임에 주로 합니다 가끔 하지 못하는 경우가 있다면 시간 혹은 체력입니다,배달대행;피크타임;체력소진,시간관리,"배달 플랫폼 노동, 저녁 피크타임 집중했으나 체력 한계로 지속 어려움",low
22,pickply,투자_재테크,1년 이상,1~3시간,60000000,"6,000만(60,000,000)",500000,"50만(500,000)",예,시장 조사 부족,"시간 관리, 정보 부족, 경쟁 심화",여유자본의 활용 본업과 병행하기에 시간이 부족 정보의 부족,여유자본;시간부족;정보부족,타겟분석실패,"투자재테크 1년, 6천만원 투자 후 50만원 수익. 정보·시간 부족",high
23,pickply,투자_재테크,1년 이상,1시간 미만,50000000,"5,000만(50,000,000)",150000,"15만(150,000)",예,"자본 부족, 시간 부족","시간 관리, 수익화 연결, 경쟁 심화",노동소득만으로는 한계를 느껴 재테크를 시작했고 난해한 정보와 치열한 경쟁으로 인해 투자에 어려움을 겪음,재테크;투자;정보부족,타겟분석실패,재테크 투자에서 난해한 정보와 경쟁으로 5000만원 투자 대비 15만원 수익,high
24,pickply,온라인판매_이커머스,1년 이상,3~5시간,10000,"1만(10,000)",1000000,"100만(1,000,000)",예,"실행력 부족, 마케팅 실패","시간 관리, 운영 지속성",시작은 사소하게 일정 금액을 추가로 벌고 싶다는 생각이었는데 퇴근 후에 로그아웃되는 체력에 더 지속하기가 어려웠습니다. 체력적인 어려움에 더불에 지속하기가 어렵다고 느꼈어요.,체력소진;퇴근후;지속성,시간관리,"이커머스 부업, 본업 후 체력 소진으로 지속 어려움",low
25,pickply,재능_프리랜서,1년 이상,1시간 미만,0,0,50000,"5만(50,000)",예,"실행력 부족, 시간 부족","시간 관리, 운영 지속성",주변에서 하는것을보고 나도할수있을것같아 시작했는데 생각보다 시간을 꽤 잡아먹었고 지속하기 힘들었다,시간부족;지속성;실행력,시간관리,프리랜서 부업 시작했으나 예상보다 시간 소요 많아 지속 실패,low
26,pickply,콘텐츠_SNS,1년 이상,1~3시간,0,0,60000,"6만(60,000)",예,"마케팅 실패, 원인을 모르겠음","수익 구조 이해, 수익화 연결",블로그로 시작했고 꾸준히 업로드하여 애드포스트. 자격을 획득하여 월평균 5-10만원 수익을 얻게 되면서 블로그마케팅업체의 유혹으로 포스팅대행하다가 악성블로그로 낙인찍혀 채널이 쓰레기가 됨,블로그;애드포스트;포스팅대행,마케팅부족,블로그 수익화 성공 후 포스팅대행 의뢰로 악성블로그 판정받아 채널 손실,high
27,pickply,플랫폼노동,1~3개월,5시간 이상,0,0,2200000,"220만(2,200,000)",예,시간 부족,"시간 관리, 운영 지속성",지인 소개로 시작했고 자는 쉬간이 부족해서 채력적으로 힘들었다,플랫폼노동;체력소진;수면부족,시간관리,"플랫폼노동 하루 5시간 이상 투입, 수면부족으로 체력적 한계",medium
28,pickply,플랫폼노동,1년 이상,1~3시간,0,0,50000,"5만(50,000)",예,"실행력 부족, 시간 부족","수익 구조 이해, 시간 관리, 수익화 연결, 운영 지속성","인터넷 광고 등에서 알아보고 시작했는데, 처음에는 수익 구조도 알아보기 힘들고 조언을 구하기도 쉽지 않아서 한동안 방치했던 경험이 있습니다.",플랫폼노동;수익구조;방치,시간관리,플랫폼노동 시작 후 수익구조 파악 어려움과 조언 부재로 장기 방치,low
29,pickply,콘텐츠_SNS,6개월~1년,3~5시간,0,0,0,0,예,"시장 조사 부족, 마케팅 실패","수익화 연결, 운영 지속성",체험단으로 시작했고 제품홍보로 올리기 시작했습니다! 그러면서 점점 여러 제품 홍보하기 시작했는데 노력하는 것에 비해서 들어오는 돈이 적으니까 현타와서 그만두게 되었습니다..,체험단;제품홍보;수익화실패,마케팅부족,"체험단·제품홍보 SNS 운영, 노력 대비 낮은 수익으로 포기",low
30,pickply,플랫폼노동,1개월 미만,1~3시간,0,0,500000,"50만(500,000)",예,시장 조사 부족,"고객 확보 (마케팅), 수익 구조 이해",본업하면서 일거리가 많이 줄어들어 쉬는날도 늘고해서 겸업을 하려는데 시장 여건이라던지 준비된 상태가 아닌 상황에 시작을해서 많은 시행착오를 겪었습니다,플랫폼노동;시장조사부족;준비부족,타겟분석실패,플랫폼노동 시작 시 시장여건 파악 없이 준비 안된 상태로 시작해 시행착오,low
31,pickply,온라인판매_이커머스,1년 이상,1시간 미만,0,0,100000,"10만(100,000)",예,"실행력 부족, 자본 부족","고객 확보 (마케팅), 시간 관리, 수익화 연결",돈이 필요해서 시작했지만 의지가 부족하고 자료도 부적하여 어려웠다.,의지부족;자료부족;실행력,기타,온라인판매 시작했으나 의지와 자료 부족으로 실행 어려움,low
32,pickply,재능_프리랜서,1~3개월,3~5시간,0,0,0,0,예,시장 조사 부족,"고객 확보 (마케팅), 수익화 연결, 경쟁 심화","웹소설을 쓰기 시작했지만, 제가쓰는 스타일은 독자층이랑 맞지 않는 것 같습니다. 너무 어렵습니다",웹소설;독자층불일치;스타일부적합,타겟분석실패,"웹소설 작가 도전, 독자 선호와 작품 스타일 불일치로 실패",low
33,pickply,오프라인부업,1개월 미만,1~3시간,100000,"10만(100,000)",0,0,예,시간 부족,수익화 연결,색칠 부업인데 너무 티테일함을 요구하고 시간이 너무 오래걸렸다,색칠부업;디테일요구;시간소요,시간관리,"색칠 부업, 과도한 디테일 요구와 긴 작업시간으로 수익화 실패",low
34,pickply,재능_프리랜서,1년 이상,3~5시간,500000,"50만(500,000)",10000,"1만(10,000)",예,마케팅 실패,"고객 확보 (마케팅), 수익 구조 이해, 수익화 연결, 운영 지속성, 경쟁 심화",저의 곡들을 유튜브에 소개하고자 시작했고 곡들에 대한 평은 너무 좋았는데 홍보 부족으로 널리 알려지지 못했음,음악창작;유튜브홍보;마케팅부족,마케팅부족,"유튜브 음악 채널 운영, 좋은 평가에도 홍보 부족으로 수익화 실패",medium
35,pickply,플랫폼노동,1년 이상,1~3시간,100000,"10만(100,000)",200000,"20만(200,000)",예,원인을 모르겠음,"시간 관리, 수익화 연결",수입이 부족해 시작하게 되었습니다. 처음에는 간단한 부업들을 찾아봤으나 정기적으로 하는데는 어려움이있었습니다. 부정기 패널조사 등등. 또 단순 작업 부업도 해봤으나 시간이 너무 오래 걸리고 수익성이 낮았습니다.,플랫폼노동;수익성부족;부정기작업,시간관리,"패널조사·단순작업 부업, 부정기성과 낮은 시급으로 지속 어려움",low
36,pickply,온라인판매_이커머스,1년 이상,1~3시간,300000,"30만(300,000)",1000000,"100만(1,000,000)",예,마케팅 실패,"고객 확보 (마케팅), 운영 지속성",월급으로 생계를 유지하는데 어려워서 추가로 도움이 되는 수익창출 파이프를 파고 싶어서,온라인판매;마케팅실패;고객확보,마케팅부족,"이커머스 1년 운영, 마케팅 부족으로 고객 확보 실패",low
37,pickply,오프라인부업,6개월~1년,5시간 이상,5000000,"500만(5,000,000)",-3000000,"-300만(-3,000,000)",예,"시장 조사 부족, 마케팅 실패","고객 확보 (마케팅), 시간 관리, 수익화 연결, 운영 지속성, 정보 부족, 경쟁 심화",취미로 하다가 판매하고 싶어 시작. 생각보다 많이 팔리지 않고 단가도 적어서 수익이 많이 생기지 않음,취미창업;판매부진;낮은단가,마케팅부족,"취미 기반 오프라인 판매, 낮은 판매량과 단가로 800만원 투자 대비 손실",medium
38,pickply,플랫폼노동,1년 이상,1~3시간,0,0,20000,"2만(20,000)",예,실행력 부족,"시간 관리, 운영 지속성","본업 이외의 부수입을 원해서 예전부터 앱테크를 진행하고 있습니다. 새로운 앱테크가 나올때마다 추가하고 있는데, 생각보다 시간이 많이 소요되어 효율성이 떨어진다 생각이 들 때가 있습니다. 그래서 요즘은 시간 대비 효율이 좋은 것들 위주로 추리고 있습니다(+블로그, 숏폼 등에도 도전중입니다)",앱테크;시간효율;병행어려움,시간관리,"앱테크 부업, 시간 대비 효율 낮아 지속 어려움",low
39,pickply,투자_재테크,1~3개월,1~3시간,0,0,0,0,예,"실행력 부족, 시간 부족","운영 지속성, 정보 부족",수입부족,투자재테크;실행력부족;정보부족,시간관리,"투자재테크 부업, 실행력·시간 부족으로 수익 없이 종료",low
40,pickply,온라인판매_이커머스,1개월 미만,1~3시간,100000,"10만(100,000)",-1,미기재,예,"시장 조사 부족, 실행력 부족","수익 구조 이해, 수익화 연결, 운영 지속성","우연히 sns를 하다가 부업을 할수있게 강의를 해준다고 하여 클래스 결제하면서 사업자등록증 내고 했으나, 막상하려니 사실 막막하기도 했고 본업과 병행하다보니 일마치고 와서 부업하기란 쉽지도 않았고, 어떤 상품들을 고객들이 눈여겨 보는지 잘모르니 쉽게 포기하게됐음",온라인클래스;사업자등록;상품선정,타겟분석실패,SNS 클래스 구매 후 이커머스 시작했으나 고객 니즈 파악 실패로 포기,low
41,pickply,콘텐츠_SNS,1년 이상,1~3시간,600000,"60만(600,000)",200000,"20만(200,000)",예,"시장 조사 부족, 마케팅 실패","수익 구조 이해, 운영 지속성, 경쟁 심화",블로그 광고 부업인데 건별로 광고비를 받거나 조회수에 따라 이익이 달라지는 부업이었는데요 어느순간부터 기계적인 광고글이 많아져서 포털사이트 알고리즘에 의해 블로그 저평가가 받아졌는지 검색 노출수도 많이 줄고 이래저래 운영이 어려워져서 그만두게 되었어요,블로그광고;알고리즘저평가;검색노출감소,마케팅부족,"블로그 광고 부업, 기계적 광고글로 알고리즘 저평가 받아 검색 노출 감소",low
42,pickply,플랫폼노동,1~3개월,5시간 이상,0,0,0,0,아니오,시장 조사 부족,"시간 관리, 수익화 연결, 운영 지속성, 정보 부족, 경쟁 심화",경력단절로 인해 부업을 해볼까해서 시작했습니다 생각보다 시간도 많이 소요되고 힘이 드는 일이었습니다 제대로 조사나 확인을 더 했어야했는데 못한거 같습니다,플랫폼노동;경력단절;시간소요,타겟분석실패,"경력단절 후 플랫폼노동 시작, 사전조사 부족으로 시간과 체력 소모만",medium
43,pickply,플랫폼노동,3~6개월,5시간 이상,0,0,0,0,예,"마케팅 실패, 자본 부족","수익화 연결, 운영 지속성","인터넷 시대에 쇼핑몰 앱을 개발하는 중 급변하는 소프트웨어의 신기술화로 전문직의 장벽에 부딪혀 결국 해당 공학도와 프로그래머,영상디자이너 등 을 채용하였으나 시간과 자본력 부족으로 한계에 부딪히자 정책적기금등을 알아 보았으나 그 또한 금융기관의 문턱에 거려 결국 모두를 접고 자금 손실로 종결케 됨.",쇼핑몰앱개발;전문인력채용;정책자금실패,자금부족,쇼핑몰 앱 개발 중 전문인력 채용 후 자금부족으로 중단,high
44,pickply,플랫폼노동,1년 이상,1~3시간,500000,"50만(500,000)",1000000,"100만(1,000,000)",예,시간 부족,"시간 관리, 수익화 연결",본업 수입이 적어서 진입이 쉬운 부업을 찾다가 배달일을 알게됨. 자동차만으로 가능하여 시작하였는데 자동차는 기동성이 떨어져 시간대비 최종수익이 별로였음,배달;자동차;기동성부족,시간관리,"자동차 배달 부업, 기동성 부족으로 시간대비 수익 낮음",low
45,pickply,투자_재테크,1년 이상,3~5시간,10000000,"1,000만(10,000,000)",4000000,"400만(4,000,000)",예,자본 부족,수익화 연결,본업으론 경제적 자유화를 못누려습니다. 그래서 주식으로 수익을 얻고자 분석도하고 투자하게되었습니다 가장어려웠던 것은 시장흐름인것 같습니다,주식투자;시장흐름;분석부족,타겟분석실패,주식투자로 경제적 자유 추구했으나 시장흐름 파악 실패로 손실,high
46,pickply,플랫폼노동,1년 이상,3~5시간,1500000,"150만(1,500,000)",2000000,"200만(2,000,000)",예,시간 부족,시간 관리,생활비 부족해서 시작 했어요 배달의 일이라위험하고 시간 관리 잘하고 있어 힘들 었어요 체력이 딸려서 힘들었어요,배달;체력부족;시간관리,시간관리,"배달 부업 1년, 체력 한계와 시간 관리 어려움으로 힘듦",low
47,pickply,오프라인부업,6개월~1년,1~3시간,200000,"20만(200,000)",50000,"5만(50,000)",예,"실행력 부족, 자본 부족","수익 구조 이해, 수익화 연결, 운영 지속성","취미를 수익화하고 싶다는 생각에 시작함. 사전 정보 없이 무작정 뛰어들었는데, 고생은 고생대로 하고 수익은 안 나는 느낌... 몇 개 팔다가 혼자 지쳐서 중단함",취미수익화;사전조사부족;혼자운영,타겟분석실패,"취미 기반 오프라인 부업, 시장조사 없이 시작해 수익화 실패",low
48,pickply,투자_재테크,1년 이상,1~3시간,3000000,"300만(3,000,000)",500000,"50만(500,000)",예,"자본 부족, 시간 부족","수익 구조 이해, 정보 부족",많은 뉴스와 영상들을 보고 여러 커뮤니티들에서 정보취합 후 시작했습니다. 소액이라도 이익을 내자라는 심정이었는데 오르고 내리는 타이밍 맞추는게 어렵고 지금도 공부중입니다.,투자타이밍;정보취합;소액투자,타겟분석실패,"투자재테크 부업, 타이밍 예측 어려움과 수익구조 이해 부족으로 저수익",medium
49,pickply,플랫폼노동,1~3개월,1시간 미만,3,3,50000,"5만(50,000)",예,"실행력 부족, 시간 부족","정보 부족, 경쟁 심화",지인하는거 보고 잘 모르는 상태에서 부업으로 시작하게 되었습니다. 처음에는 간단할 줄 알았는데 생각보다 시간도 많이 들고 꾸준히 참여해야 해서 어려움이 있었습니다. 그래도 조금씩 적응하면서 계속 해보고 있습니다.,플랫폼노동;시간부족;정보부족,시간관리,"플랫폼노동 부업, 예상보다 많은 시간 소요로 지속 어려움",low
50,pickply,투자_재테크,1년 이상,1~3시간,30000000,"3,000만(30,000,000)",0,0,예,"시장 조사 부족, 실행력 부족",경쟁 심화,"주변의 추천으로 시작하게 되었고, 부업에 투자할 시간적 여유와 정보의 부족으로 어려움 겪음",투자재테크;시장조사부족;정보부족,타겟분석실패,주변 추천으로 투자재테크 시작했으나 시장조사·정보 부족으로 3천만원 손실,high
51,pickply,콘텐츠_SNS,3~6개월,3~5시간,0,0,30,30,예,"시장 조사 부족, 마케팅 실패","시간 관리, 경쟁 심화",아무랴도 물가가 솟으니까 조금거벌어보려규했는대요? 아무리 모아보려고해도 팔로우ㅓ가 모으기 힘들었어요!ㅍㅍ,팔로워모으기;SNS수익화;콘텐츠제작,마케팅부족,SNS 콘텐츠 부업 시도했으나 팔로워 확보 실패로 수익화 어려움,low
52,pickply,콘텐츠_SNS,6개월~1년,1~3시간,50000,"5만(50,000)",200000,"20만(200,000)",예,"실행력 부족, 마케팅 실패",시간 관리,본업뿐만 아니라 또 부수입이 있길 바라는 마음 때문입니다,SNS콘텐츠;실행력부족;시간관리,시간관리,"SNS 콘텐츠 부업, 본업 병행하며 실행력과 시간관리 실패",low
53,pickply,콘텐츠_SNS,3~6개월,3~5시간,8000000,"800만(8,000,000)",100000,"10만(100,000)",예,마케팅 실패,"수익 구조 이해, 수익화 연결",유튜브 크레이티브로 영상콘텐츠로 부가 수입을 연출하려 시작하였다 그러나 유튜브시장에서 알고리즘에 노출되기가 많이 어려우며 답보상태가 길어져서 힘들다,유튜브;알고리즘;노출부족,마케팅부족,유튜브 영상 콘텐츠 제작했으나 알고리즘 노출 실패로 수익화 난항,high
54,pickply,온라인판매_이커머스,1년 이상,3~5시간,20000000,"2,000만(20,000,000)",2500000,"250만(2,500,000)",예,"마케팅 실패, 독점 보호 실패","운영 지속성, 정보 부족, 경쟁 심화",유튜브 보고 시작핬고 공부도 2년간 하면서 실행했어요.,유튜브창업;2년준비;온라인판매,마케팅부족,"2년 공부 후 시작한 이커머스, 마케팅 실패로 투자금 대비 저조한 수익",high
55,pickply,플랫폼노동,1년 이상,1~3시간,0,0,100000,"10만(100,000)",예,실행력 부족,"수익화 연결, 경쟁 심화",배달 - 본업 외에 쉽게 돈 버는 방법을 찾다 시작하게 되었고 오토바이나 자전거 없이 도보로 배달하여 조금만 해도 체력적으로 많이 지쳤습니다. 작사 - 예술적은 분야에서도 부업을 하고싶어서 시작했으나 투자비 (학원비)는 매달 나가는데 수익이 쉽지 않았습니다. 스마트스토어 - 온라인으로 부업을 하고싶어서 시작했는데 이미 최저가로 파는 사람이 많은 레드오션이라 발 딛기조차 힘들었습니다.,배달;작사;스마트스토어,경쟁분석부족,"배달·작사·스마트스토어 3가지 동시 시도, 체력소진과 레드오션으로 실패",medium
56,pickply,온라인판매_이커머스,1년 이상,3~5시간,8000000,"800만(8,000,000)",600000,"60만(600,000)",예,"자본 부족, 시간 부족","수익 구조 이해, 수익화 연결",유튜브에서 물건을 때다가 팔아서 부업을 하는 유튜브를 보고 시작했지만 생각보다 수익이 나지 않고 시간에 비해서 매출이 잘 나오지 않고 인기 물품이 바뀌어서 어려웠다,온라인판매;재고관리;트렌드변화,시간관리,"이커머스 도매 판매, 트렌드 변화와 낮은 시간당 수익으로 실패",high
57,pickply,콘텐츠_SNS,6개월~1년,1~3시간,0,0,0,0,예,마케팅 실패,수익화 연결,sns광고 보고 무료로 알려준다고 해서 시작했지만 진짜 기본만 알려주고 진짜 정보는 월정액 결제를 해야 알려주는 구조였어서 혼자 하다가 결국은 실패,SNS광고;무료강의;월정액,마케팅부족,"무료 SNS 강의 유입 후 유료 전환 유도, 혼자 진행하다 실패",low
58,pickply,투자_재테크,1년 이상,1시간 미만,20000000,"2,000만(20,000,000)",-200,-200,예,"시장 조사 부족, 원인을 모르겠음","수익 구조 이해, 정보 부족",2022-2023 한창 해외주식 붐일 때 시작해서 처음에는 수익을 냈지만 레버리지를 타면서 손실을 봤습니다 그 이후에도 국장 붐이 오면서 국장으로 넘어왔지만 정보나 공부가 부족한 건지 운이 안 따라주는 건지 결국 마이너스네요ㅠㅠ 안정적인 etf가 아니라 레버리지를 한 게 패인이라고 생각해서 isa 등으로 굴려볼까 합니다,레버리지;해외주식;정보부족,타겟분석실패,"레버리지 투자로 초기 수익 후 큰 손실, 정보·공부 부족이 원인",high
59,pickply,콘텐츠_SNS,6개월~1년,1~3시간,50000,"5만(50,000)",500000,"50만(500,000)",예,실행력 부족,"수익 구조 이해, 시간 관리, 수익화 연결",취미생활을 할 돈을 따로모으고 싶어서 하게 되었고 돈을 벌어보니 조금 더 관심이 생겼습니다 하지만 수익화가 어려웠습니다,수익화어려움;취미활동;SNS콘텐츠,마케팅부족,SNS 콘텐츠 부업 시작했으나 수익화 방법 몰라 실패,low
